Date,open_btc,high_btc,low_btc,close_btc,volume_btc,block_reward,cpi,open_sp500,high_sp500,low_sp500,close_sp500,volume_sp500,SMA_20_btc,BB_std_btc,BB_upper_btc,BB_lower_btc,RSI_btc,EMA_12_btc,EMA_26_btc,MACD_btc,MACD_signal_btc,USDCHF,EURCHF
2010-07-19,0.0808,0.0808,0.0808,0.0808,0.0,50.0,100.0538,1066.85,1074.7,1061.11,1071.25,2.271944444E9,0.0808,,,,,,,,,1.055,1.3655
2010-07-20,0.0747,0.0747,0.0747,0.0747,0.0,50.0,100.0538,1064.53,1083.94,1056.88,1083.48,2.618488889E9,0.07775,0.004313351365237936,0.08637670273047587,0.06912329726952413,0.0,,,,,1.0527,1.3561
2010-07-21,0.0792,0.0792,0.0792,0.0792,0.0,50.0,100.0538,1086.67,1088.96,1065.25,1069.59,2.637322222E9,0.07823333333333334,0.003162804662531868,0.08455894265839707,0.0719077240082696,42.45283018867929,,,,,1.0514,1.3415
2010-07-22,0.0505,0.0505,0.0505,0.0505,0.0,50.0,100.0538,1072.14,1097.5,1072.14,1093.67,2.681611111E9,0.0713,0.014105081826538027,0.09951016365307605,0.04308983634692395,11.450381679389324,,,,,1.043,1.3444
2010-07-23,0.0626,0.0626,0.0626,0.0626,0.0,50.0,100.0538,1092.17,1103.73,1087.88,1102.66,2.51365E9,0.06956,0.01282002340091468,0.09520004680182936,0.04391995319817064,32.29571984435799,,,,,1.0545,1.3616
2010-07-24,0.0545,0.0545,0.0545,0.0545,0.0,50.0,100.0538,1092.17,1103.73,1087.88,1102.66,2.51365E9,0.06705,0.013010880062470793,0.09307176012494159,0.04102823987505841,27.899159663865547,,,,,,
2010-07-25,0.0505,0.0505,0.0505,0.0505,0.0,50.0,100.0538,1092.17,1103.73,1087.88,1102.66,2.51365E9,0.06468571428571428,0.013423788408571375,0.09153329110285703,0.03783813746857152,26.141732283464577,,,,,,
2010-07-26,0.056,0.056,0.056,0.056,0.0,50.0,100.0538,1102.89,1115.01,1101.3,1115.01,2.227583333E9,0.0636,0.012801785589741545,0.08920357117948309,0.03799642882051692,32.028985507246375,,,,,1.049,1.3625
2010-07-27,0.06,0.06,0.06,0.06,0.0,50.0,100.0538,1117.36,1120.95,1109.78,1113.84,2.625383333E9,0.06319999999999999,0.012034949106664307,0.0872698982133286,0.03913010178667138,35.75342465753424,,,,,1.0605,1.3782
2010-07-28,0.0589,0.0589,0.0589,0.0589,0.0,50.0,100.0538,1112.84,1114.66,1103.11,1106.13,2.22355E9,0.06276999999999999,0.011427846107935943,0.08562569221587188,0.039914307784128106,35.22267206477734,,,,,1.0567,1.3731
2010-07-29,0.0699,0.0699,0.0699,0.0699,0.0,50.0,100.0538,1108.07,1115.9,1092.82,1101.53,2.562455556E9,0.0634181818181818,0.011052494576503367,0.08552317097118854,0.041313192665175066,43.59576968272621,,,,,1.0409,1.3616
2010-07-30,0.0627,0.0627,0.0627,0.0627,0.0,50.0,100.0538,1098.44,1106.44,1088.01,1101.6,2.225805556E9,0.06335833333333332,0.010540179257862686,0.0844386918490587,0.04227797481760795,40.19501625135428,0.06666665169528117,,,,1.0414,1.3588
2010-07-31,0.0679,0.0679,0.0679,0.0679,0.0,50.0,100.0538,1098.44,1106.44,1088.01,1101.6,2.225805556E9,0.0637076923076923,0.010169764135126368,0.08404722057794503,0.043368164037439566,43.38461538461539,0.06373181477947322,,,,,
2010-08-01,0.0611,0.0611,0.0611,0.0611,0.0,50.0,100.20001,1098.44,1106.44,1088.01,1101.6,2.225805556E9,0.06352142857142856,0.009795617432256166,0.0831126634359409,0.043930193706916226,40.556088207094916,0.061352648412974956,,,,,
2010-08-02,0.06,0.06,0.06,0.06,0.0,50.0,100.20001,1107.53,1127.3,1107.53,1125.86,2.302322222E9,0.06328666666666666,0.009482982251430844,0.08225263116952834,0.04432070216380497,40.13282732447818,0.05756421534276579,,,,1.0389,1.3694
2010-08-03,0.06,0.06,0.06,0.06,0.0,50.0,100.20001,1125.34,1125.44,1116.76,1120.46,2.262122222E9,0.06308124999999999,0.00919820408195716,0.08147765816391431,0.044684841836085676,42.59818731117824,0.05911751763843618,,,,1.0391,1.3749
2010-08-04,0.057,0.057,0.057,0.057,0.0,50.0,100.20001,1121.06,1128.75,1119.46,1127.24,2.254361111E9,0.06272352941176469,0.0090274255336007,0.0807783804789661,0.04466867834456329,38.65030674846626,0.05832582984471339,,,,1.0531,1.3861
2010-08-05,0.061,0.061,0.061,0.061,0.0,50.0,100.20001,1125.78,1126.56,1118.81,1125.81,2.047533333E9,0.06262777777777777,0.008767305948509567,0.0801623896747969,0.04509316588075864,57.18194254445965,0.05920541914360365,,,,1.0462,1.38
2010-08-06,0.0623,0.0623,0.0623,0.0623,0.0,50.0,100.20001,1122.07,1123.06,1107.17,1121.64,2.143272222E9,0.06261052631578946,0.008520621699855404,0.07965176971550027,0.04556928291607866,49.75922953451043,0.06112222411601719,,,,1.0391,1.3798
2010-08-07,0.059,0.059,0.059,0.059,0.0,50.0,100.20001,1122.07,1123.06,1107.17,1121.64,2.143272222E9,0.062429999999999986,0.008332567684125122,0.07909513536825023,0.04576486463174974,53.913043478260875,0.06213845322515456,,,,,
2010-08-08,0.0609,0.0609,0.0609,0.0609,0.0,50.0,100.20001,1122.07,1123.06,1107.17,1121.64,2.143272222E9,0.061435,0.007124034560630137,0.07568306912126027,0.04718693087873972,59.38628158844766,0.06255273759250475,,,,,
2010-08-09,0.071,0.071,0.071,0.071,0.0,50.0,100.20001,1122.8,1129.24,1120.91,1127.79,2.210755556E9,0.061250000000000006,0.006802205524680949,0.0748544110493619,0.047645588950638106,62.5,0.06355936475534099,,,,1.0494,1.3874
2010-08-10,0.07,0.07,0.07,0.07,0.0,50.0,100.20001,1122.92,1127.16,1111.58,1121.06,2.210755556E9,0.06079000000000001,0.005754897228036584,0.07229979445607318,0.04928020554392684,58.77192982456141,0.06240935250470141,,,,1.0486,1.3816
2010-08-11,0.067,0.067,0.067,0.067,0.0,50.0,100.20001,1116.89,1116.89,1088.55,1089.47,2.506588889E9,0.06161500000000001,0.005372079377867126,0.07235915875573426,0.05087084124426576,56.8760611205433,0.06247821991356983,,,,1.0601,1.3635
2010-08-12,0.07,0.07,0.07,0.07,0.0,50.0,100.20001,1081.48,1086.72,1076.69,1083.61,2.511694444E9,0.061985,0.0056889805765180795,0.07336296115303616,0.05060703884696384,50.09823182711198,0.061551882659485586,,,,1.05,1.3472
2010-08-13,0.0645,0.0645,0.0645,0.0645,0.0,50.0,100.20001,1082.22,1086.25,1079.0,1079.25,1.849383333E9,0.062485,0.005430060094656315,0.07334512018931263,0.05162487981068737,51.82926829268292,0.06173028086099268,0.06422238071534819,-0.0024920998543555145,-0.0024920998543555145,1.0512,1.3406
2010-08-14,0.067,0.067,0.067,0.067,0.0,50.0,100.20001,1082.22,1086.25,1079.0,1079.25,1.849383333E9,0.06331,0.004720381340527482,0.07275076268105497,0.05386923731894504,49.03225806451613,0.06224301385933488,0.06272357282420105,-4.805589648661651E-4,-0.0014863294096108398,,
2010-08-15,0.0653,0.0653,0.0653,0.0653,0.0,50.0,100.20001,1082.22,1086.25,1079.0,1079.25,1.849383333E9,0.063775,0.0044102601665709125,0.07259552033314182,0.05495447966685817,55.07246376811594,0.06280085218021174,0.061647891659215026,0.0011529605209967125,-6.065660994083224E-4,,
2010-08-16,0.0655,0.0655,0.0655,0.0655,0.0,50.0,100.20001,1077.49,1082.62,1069.49,1079.38,1.745805556E9,0.06404999999999998,0.004333286099607624,0.07271657219921523,0.055383427800784736,56.790123456790134,0.06409614687152451,0.060072375356246606,0.004023771515277906,5.510183042632347E-4,1.0396,1.3331
2010-08-17,0.07,0.07,0.07,0.07,0.0,50.0,100.20001,1081.16,1100.14,1081.16,1092.54,2.204561111E9,0.064605,0.0043497701088678255,0.07330454021773565,0.05590545978226434,61.11111111111112,0.0649138295668408,0.06108205435527624,0.00383177521156456,0.0012071696857234998,1.0434,1.3444
2010-08-18,0.068,0.068,0.068,0.068,0.0,50.0,100.20001,1092.08,1099.77,1085.76,1094.16,2.069033333E9,0.06450999999999998,0.004247587550598578,0.07300517510119714,0.05601482489880283,62.49999999999999,0.06555041100991235,0.061028157187845065,0.004522253822067286,0.0017596837084474643,1.0426,1.34
2010-08-19,0.0667,0.0667,0.0667,0.0667,0.0,50.0,100.20001,1092.44,1092.44,1070.66,1075.63,2.383633333E9,0.06470999999999999,0.00425204594716968,0.07321409189433935,0.05620590810566063,56.900726392251805,0.06695934495587433,0.061702996708537544,0.005256348247336784,0.0022592072140030814,1.0322,1.3235
2010-08-20,0.0655,0.0655,0.0655,0.0655,0.0,50.0,100.20001,1075.63,1075.63,1063.91,1071.69,2.089761111E9,0.06459000000000001,0.0041907039981368315,0.07297140799627368,0.05620859200372635,53.883495145631066,0.06819124801012398,0.06278684334562815,0.005404404664495835,0.0026523568953146755,1.034,1.3144
2010-08-21,0.0664,0.0664,0.0664,0.0664,0.0,50.0,100.20001,1075.63,1075.63,1063.91,1071.69,2.089761111E9,0.06485500000000001,0.004125463291367536,0.07310592658273508,0.056604073417264936,59.53608247422681,0.0675503618587831,0.06345986493089435,0.004090496927888751,0.0028121502322673506,,
2010-08-22,0.066,0.066,0.066,0.066,0.0,50.0,100.20001,1075.63,1075.63,1063.91,1071.69,2.089761111E9,0.065155,0.0039690214888492845,0.07309304297769857,0.05721695702230144,56.83646112600537,0.06699175226117074,0.06381169688552894,0.0031800553756417965,0.003442389702267052,,
2010-08-23,0.0649,0.0649,0.0649,0.0649,0.0,50.0,100.20001,1073.36,1081.58,1067.08,1067.36,1.783861111E9,0.0654,0.003780838113713053,0.07296167622742611,0.05783832377257389,39.222614840989415,0.06693081172884417,0.0642796753965343,0.0026511363323098724,0.0037903558463977228,1.0409,1.3176
2010-08-24,0.065,0.065,0.065,0.065,0.0,50.0,100.20001,1063.2,1063.2,1046.68,1051.87,2.464627778E9,0.0658,0.003228165521093825,0.07225633104218765,0.059343668957812346,40.87591240875913,0.06623125144189514,0.06376876450745722,0.0024624869344379158,0.003935858781224523,1.0331,1.3049
2010-08-25,0.0648,0.0648,0.0648,0.0648,0.0,50.0,100.20001,1048.98,1059.38,1039.83,1055.33,2.422327778E9,0.06599,0.0030369479138732287,0.07206389582774644,0.059916104172253536,45.52845528455284,0.0665545159946804,0.06388053063411087,0.0026739853605695363,0.003785882541812482,1.0305,1.3047
2010-08-26,0.064,0.064,0.064,0.064,0.0,50.0,100.20001,1056.28,1061.45,1045.4,1047.22,2.02595E9,0.06607500000000001,0.002950802745373751,0.07197660549074751,0.060173394509252506,36.60714285714286,0.06638860326930623,0.06351019529073375,0.0028784079785724864,0.003679952849257807,1.0238,1.3023
2010-08-27,0.065,0.065,0.065,0.065,0.0,50.0,100.20001,1049.27,1065.21,1039.7,1064.59,2.279144444E9,0.06637499999999999,0.0024574002094639976,0.07128980041892799,0.061460199581071996,51.39664804469274,0.06657803957310304,0.06375178870809843,0.002826250865004612,0.0034915080762508433,1.028,1.3115
2010-08-28,0.0641,0.0641,0.0641,0.0641,0.0,50.0,100.20001,1049.27,1065.21,1039.7,1064.59,2.279144444E9,0.066535,0.0021694711943600225,0.07087394238872004,0.06219605761127995,41.10429447852762,0.06673441947258034,0.06410321102419106,0.00263120844838928,0.0031998258763677873,,
2010-08-29,0.064,0.064,0.064,0.064,0.0,50.0,100.20001,1049.27,1065.21,1039.7,1064.59,2.279144444E9,0.06618500000000001,0.0019663685471340135,0.07011773709426804,0.06225226290573198,45.57823129251703,0.06597084629150828,0.0644814964129017,0.0014893498786065773,0.0027648197890467584,,
2010-08-30,0.065,0.065,0.065,0.065,0.0,50.0,100.20001,1062.9,1064.4,1048.79,1048.92,1.621105556E9,0.065935,0.0017631535742288007,0.0694613071484576,0.062408692851542394,48.38709677419355,0.06551699362010281,0.06518007313948457,3.369204806182441E-4,0.0023477557393500356,1.0263,1.2996
2010-08-31,0.06,0.06,0.06,0.06,0.0,50.0,100.20001,1046.88,1055.14,1040.88,1049.33,2.243761111E9,0.065585,0.0021849424899091753,0.06995488497981836,0.061215115020181655,18.75,0.06511225663621865,0.06550197186394949,-3.89715227730833E-4,0.0019511145611975213,1.015,1.2871
2010-09-01,0.0629,0.0629,0.0629,0.0629,0.0,50.0,100.36186,1049.72,1081.3,1049.72,1080.29,2.442711111E9,0.06523,0.001998710110361971,0.06922742022072394,0.061232579779276056,34.91124260355029,0.06496816429377238,0.06576563388908174,-7.974695953093663E-4,0.0015679361247953837,1.0158,1.3014
2010-09-02,0.0634,0.0634,0.0634,0.0634,0.0,50.0,100.36186,1080.66,1090.1,1080.39,1090.1,2.057894444E9,0.065175,0.002034666660918352,0.0692443333218367,0.06110566667816329,39.75155279503107,0.06462291489550584,0.0663619159576612,-0.0017390010621553542,0.001101104125173909,1.0129,1.299
2010-09-03,0.0609,0.0609,0.0609,0.0609,0.0,50.0,100.36186,1093.61,1105.1,1093.61,1104.51,1.963611111E9,0.06487,0.002197390797238737,0.06926478159447746,0.06047521840552252,36.781609195402304,0.06422817920865141,0.06679886923427408,-0.002570690025622671,5.183624155969972E-4,1.0164,1.3109
2010-09-04,0.0624,0.0624,0.0624,0.0624,0.0,50.0,100.36186,1093.61,1105.1,1093.61,1104.51,1.963611111E9,0.064725,0.0022622473688557426,0.06924949473771148,0.06020050526228852,38.88888888888888,0.06403526694594586,0.06635521748344898,-0.0023199505375031265,-5.923297507807087E-5,,
2010-09-05,0.0616,0.0616,0.0616,0.0616,0.0,50.0,100.36186,1093.61,1105.1,1093.61,1104.51,1.963611111E9,0.06453,0.0023579875451659933,0.069245975090332,0.059814024909668015,38.043478260869556,0.06376362321815357,0.06595857501789665,-0.002194951799743078,-6.171443822722586E-4,,
2010-09-06,0.0616,0.0616,0.0616,0.0616,0.0,50.0,100.36186,1093.61,1105.1,1093.61,1104.51,1.963611111E9,0.06411,0.002061910202751443,0.06823382040550288,0.05998617959449711,40.46242774566475,0.0634846144002686,0.06580772253518163,-0.0023231081349130295,-0.001167624002639182,1.0126,1.3035
2010-09-07,0.061,0.061,0.061,0.061,0.0,50.0,100.36186,1102.6,1102.6,1091.15,1091.84,1.726322222E9,0.06376000000000001,0.0019583559162565144,0.06767671183251305,0.059843288167486984,38.76404494382022,0.0633059922940923,0.06535977619775159,-0.0020537839036592898,-0.001561305534002056,1.0114,1.2827
